,Country
0,Albania
1,Algeria
2,Angola
3,Argentina
4,Armenia
5,Australia
6,Austria
7,Azerbaijan
8,Bahamas
9,Bahrain
10,Bangladesh
11,Barbados
12,Belarus
13,Belgium
14,Belize
15,Benin
16,Bhutan
17,Bolivia
18,Bosnia and Herzegovina
19,Botswana
20,Brazil
21,Brunei Darussalam
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Cambodia
26,Cameroon
27,Canada
28,Cape Verde
29,Central African Republic
30,Chad
31,Chile
32,China
33,Colombia
34,"Congo, Dem. Rep."
35,"Congo, Rep. of"
36,Costa Rica
37,Cote d'Ivoire
38,Croatia
39,Cyprus
40,Czech Rep.
41,Denmark
42,Dominican Republic
43,Ecuador
44,Egypt
45,El Salvador
46,Estonia
47,Ethiopia
48,Fiji
49,Finland
50,France
51,Gabon
52,"Gambia, The"
53,Georgia
54,Germany
55,Ghana
56,Greece
57,Guatemala
58,Guinea
59,Guinea-Bissau
60,Guyana
61,Haiti
62,Honduras
63,Hong Kong
64,Hungary
65,Iceland
66,India
67,Indonesia
68,Iran
69,Iraq
70,Ireland
71,Israel
72,Italy
73,Jamaica
74,Japan
75,Jordan
76,Kazakhstan
77,Kenya
78,"Korea, South"
79,Kuwait
80,Kyrgyz Republic
81,Laos
82,Latvia
83,Lebanon
84,Lesotho
85,Liberia
86,Libya
87,Lithuania
88,Luxembourg
89,Macedonia (North Macedonia)
90,Madagascar
91,Malawi
92,Malaysia
93,Mali
94,Malta
95,Mauritania
96,Mauritius
97,Mexico
98,Moldova
99,Mongolia
100,Montenegro
101,Morocco
102,Mozambique
103,Myanmar
104,Namibia
105,Nepal
106,Netherlands
107,New Zealand
108,Nicaragua
109,Niger
110,Nigeria
111,Norway
112,Oman
113,Pakistan
114,Panama
115,Pap. New Guinea
116,Paraguay
117,Peru
118,Philippines
119,Poland
120,Portugal
121,Qatar
122,Romania
123,Russia
124,Rwanda
125,Saudi Arabia
126,Senegal
127,Serbia
128,Seychelles
129,Sierra Leone
130,Singapore
131,Slovak Rep
132,Slovenia
133,South Africa
134,Spain
135,Sri Lanka
136,Sudan
137,Suriname
138,Swaziland (Eswatini)
139,Sweden
140,Switzerland
141,Syria
142,Taiwan
143,Tajikistan
144,Tanzania
145,Thailand
146,Timor-Leste
147,Togo
148,Trinidad & Tobago
149,Tunisia
150,Turkey
151,Uganda
152,Ukraine
153,United Arab Emirates
154,United Kingdom
155,United States
156,Uruguay
157,Venezuela
158,Vietnam
159,"Yemen, Rep."
160,Zambia
161,Zimbabwe
